review_id,restaurant_id,restaurant,text,date
3377214,91083893,Mamamia,"Service was terrible, staff were rude and uphelpful. Food was awful, they change the menu often so the menu we saw online prior to booking was not the same menus they had on the day.","Dined on December 8, 2024"
21348531,91083893,Mamamia,"Restaurant extremely over priced, food is NOTHING a special and bland. The menu has limited choices. Ordered the pizza which they then cut with scissors like it’s a piece of cardboard. The staff are too much in your face , ignoring the woman at the table. I honestly felt very uncomfortable at the whole experience. I couldn’t believe the price for the food that was set down infront of me. I put in that it was a special occasion for me and my boyfriend , did I recieve anything special NO. Absolutely don’t go here if you are thinking it’s going to be an experience. Yes the decor is nice but everything else is absolutely not. Will not be back and tik tok has a lot to blame for, overrated dishes that could of been better going to apache and Nandos.
Read more","Dined on December 7, 2024"
4721999,91083893,Mamamia,"Having booked and confirmed through open table, we took a taxi to the place and IT WAS CLOSED.","Dined on November 11, 2024"
71453537,91083893,Mamamia,"Oublié de mon plat  il était trop tard pour re  commander le deuxieme , un serveur sortit de nul part qui ne s’occupé pas de de ma table ma servit de l’eau dans mon verre rempli de vin","Dined on November 9, 2024"
59414550,91083893,Mamamia,"The burrata appetizer was fantastic, and the truffle pizza was very good. However, the pasta and fish dishes were disappointing and below average. Given the quality of the food, the restaurant’s prices are outrageously high. The service was terrible and extremely slow. Main course arrived late and cold !!!Additionally, the restaurant was  booked for a large event, and we were seated in the basement, which was the biggest letdown. If the restaurant is fully booked for an event, they shouldn’t accept outside reservations and then place guests in the basement. I strongly recommend confirming if there’s an event when making a reservation, as sitting in the basement was unpleasant.
Read more","Dined on October 24, 2024"
85205343,91083893,Mamamia,"Staff at entrance rude & unwelcoming, waiting staff were amazing, extremely over priced and no where to dance.
Food was lovely","Dined on October 19, 2024"
79521241,91083893,Mamamia,"The bouncer was rude to us and had issues to understand that our reservation was changed from three guests to four. We had to have a long discussion before I go to the reception to confirm that to him when he could easily save the time and ruining our evening by simply asking by him self. The valet service drive my car in a very careless aggressive way! We wanted to order more drinks but waited for one hour and weren’t served and to pay we had to wait another half an hour. All the waitresses were in a hurry and barely cared when we just wanted to pay and leave but the ambience was good except that the shows were very short
Read more","Dined on October 5, 2024"
41740795,91083893,Mamamia,My FAVOURITE restaurant in Paris!!! Everything is amazing over there,"Dined on September 28, 2024"
70097985,91083893,Mamamia,"Its a good place, vibe is on great spot for trampoline to a party and have dinner. very loud so not a good place to talk","Dined on August 11, 2024"
84929447,91083893,Mamamia,This place has such a great atmosphere made by the staff! They were all so friendly and helpful!,"Dined on April 18, 2024"
41535210,74901488,Giusé Trattoria,"Message pour OpenTable. Le déjeuner était super et notre serveuse Sylvia adorable. Elle n revanche malgré mes nombreuses confirmations le restaurant n’avait pas notre réservation. Nous avons eu de la chance qu ils aient encore une table de huit un samedi midi.
Read more","Dined on November 30, 2024"
55609987,74901488,Giusé Trattoria,"A very last minute booking after a Seine river cruise, but what a find. Food was excellent, one of the best Italian meals that we have had anywhere. Quite pricey, but we felt that it was worth the money. Would definitely go back if in Paris again. The main photo makes it look a bit like a canteen, but it is really not like that, it is lovely.
Read more","Dined on November 1, 2024"
34519622,74901488,Giusé Trattoria,Seated next to the door so whenever everyone opened it was very cold. The food portions were very large and we were not warned when ordering extras.,"Dined on October 30, 2024"
45097681,74901488,Giusé Trattoria,"Great service, nice and easygoing
Good value proposition without chichi","Dined on October 17, 2024"
39670675,74901488,Giusé Trattoria,"We really enjoyed a fine, authentic Italian dinner at Giusé in the heart of Paris. Intimate setting and outstanding and attentive service mixed with a menu of great pasta, meat & fish entrees. My wife had chicken parm and I enjoyed a beautifully presented & tasty veal picante. The grilled veggies, broccoli rabe and salad were also outstanding. Loved this place !
Read more","Dined on October 13, 2024"
82729024,74901488,Giusé Trattoria,Fantastic food slowish service but very nice wait staff,"Dined on October 5, 2024"
23676115,74901488,Giusé Trattoria,"Food and service are good. The decoration is neat, the music was great.","Dined on July 25, 2024"
8349462,82210366,Laïa,Amazing food in a very cool atmosphere!,"Dined on March 3, 2020"
15645011,82210366,Laïa,"Une très belle découverte dans un cadre surprenant et chaleureux. La nourriture est délicieuse et le service à la hauteur. Une très jolie déco et terrasse idéale pour cet été! je conseille vivement la visite!
Read more","Dined on February 26, 2020"
1821344,82210366,Laïa,"Great place, hidden from the street, great meditterean food with a typical barbecue from Spain","Dined on February 21, 2020"
